"name","skills","job_title","job_schedule_type","job_location","salary_year_avg","job_posted_date"
"CEDARS-SINAI","go","Principal Data Intelligence Analyst - Cardiac - Remote","Full-time","Anywhere","$163,500.00","2023-09-20 13:00:44"
"CyberCoders","gcp","REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","Anywhere","$162,500.00","2023-10-11 12:01:45"
"CyberCoders","bigquery","REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","Anywhere","$162,500.00","2023-10-11 12:01:45"
"CyberCoders","python","REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","Anywhere","$162,500.00","2023-10-11 12:01:45"
"CyberCoders","sql","REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","Anywhere","$162,500.00","2023-10-11 12:01:45"
"CyberCoders","sheets","REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","Anywhere","$162,500.00","2023-10-11 12:01:45"
"CyberCoders","word","REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","Anywhere","$162,500.00","2023-10-11 12:01:45"
"CyberCoders","looker","REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","Anywhere","$162,500.00","2023-10-11 12:01:45"
"DIRECTV","redshift","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","aws","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","cognos","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","visio","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","databricks","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","azure","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","couchbase","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","postgresql","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","mysql","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","r","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","scala","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","ssis","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","tableau","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","linux","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","airflow","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","pyspark","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","watson","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","snowflake","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","oracle","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","sql","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"DIRECTV","python","Senior - Data Analyst","Full-time","Anywhere","$160,515.00","2023-06-14 21:01:17"
"Maven Clinic","html","Senior Data Analyst (Greater NYC Area, NY or Remote)","Full-time","Anywhere","$160,000.00","2023-08-30 00:00:02"
"Maven Clinic","r","Senior Data Analyst (Greater NYC Area, NY or Remote)","Full-time","Anywhere","$160,000.00","2023-08-30 00:00:02"
"Maven Clinic","python","Senior Data Analyst (Greater NYC Area, NY or Remote)","Full-time","Anywhere","$160,000.00","2023-08-30 00:00:02"
"Realtime Recruitment","power bi","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-02-02 14:16:03"
"Maven Clinic","bigquery","Senior Data Analyst (Greater NYC Area, NY or Remote)","Full-time","Anywhere","$160,000.00","2023-08-30 00:00:02"
"Maven Clinic","looker","Senior Data Analyst (Greater NYC Area, NY or Remote)","Full-time","Anywhere","$160,000.00","2023-08-30 00:00:02"
"Maven Clinic","sql","Senior Data Analyst (Greater NYC Area, NY or Remote)","Full-time","Anywhere","$160,000.00","2023-08-30 00:00:02"
"Realtime Recruitment","snowflake","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-02-02 14:16:03"
"Realtime Recruitment","looker","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-02-02 14:16:03"
"Robert Half","java","SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","Full-time","Anywhere","$160,000.00","2023-01-30 02:02:22"
"Robert Half","sql","SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","Full-time","Anywhere","$160,000.00","2023-01-30 02:02:22"
"Get It Recruit - Information Technology","python","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-10-13 09:00:52"
"Get It Recruit - Information Technology","azure","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-10-13 09:00:52"
"Get It Recruit - Information Technology","ssrs","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-10-13 09:00:52"
"Get It Recruit - Information Technology","power bi","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-10-13 09:00:52"
"Get It Recruit - Information Technology","sql","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-10-13 09:00:52"
"Get It Recruit - Information Technology","sas","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-10-13 09:00:52"
"Get It Recruit - Information Technology","sql server","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-10-13 09:00:52"
"Get It Recruit - Information Technology","sas","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-10-13 09:00:52"
"Get It Recruit - Information Technology","r","Principal Data Analyst","Full-time","Anywhere","$160,000.00","2023-10-13 09:00:52"
"Grow Therapy","sql","Senior Data Analyst","Full-time","Anywhere","$157,500.00","2023-09-18 22:00:08"
"Uber","spark","Applied Scientist - Maps","Full-time","Anywhere","$157,500.00","2023-10-13 07:03:27"
"Uber","r","Applied Scientist - Maps","Full-time","Anywhere","$157,500.00","2023-10-13 07:03:27"
"Uber","python","Applied Scientist - Maps","Full-time","Anywhere","$157,500.00","2023-10-13 07:03:27"
"Uber","sql","Applied Scientist - Maps","Full-time","Anywhere","$157,500.00","2023-10-13 07:03:27"
"Grow Therapy","looker","Senior Data Analyst","Full-time","Anywhere","$157,500.00","2023-09-18 22:00:08"
"Grow Therapy","python","Senior Data Analyst","Full-time","Anywhere","$157,500.00","2023-09-18 22:00:08"
"Edgewater Federal Solutions, Inc.","oracle","System Data Analyst","","Anywhere","$157,500.00","2023-07-17 18:00:47"
"Edgewater Federal Solutions, Inc.","go","System Data Analyst","","Anywhere","$157,500.00","2023-07-17 18:00:47"
"Edgewater Federal Solutions, Inc.","sql","System Data Analyst","","Anywhere","$157,500.00","2023-07-17 18:00:47"
"Motion Recruitment","spark","Lead Data Analyst","Full-time","Anywhere","$155,000.00","2023-01-05 08:00:45"
